lat,lng,postalCode,data_updated_at,data_count_grass_pollen,data_count_tree_pollen,data_count_weed_pollen
41.3872,-82.7994,44824,2023-02-19 02:00:00+00:00,0,211,0
41.3757,-82.5386,44839,2023-02-19 02:00:00+00:00,0,134,0
41.3111,-82.6126,44846,2023-02-19 02:00:00+00:00,0,270,0
41.4349,-82.7063,44870,2023-02-19 02:00:00+00:00,0,136,0
41.4489,-82.708,44871,2023-02-19 02:00:00+00:00,0,125,0
39.8993,-82.5283,43046,2023-02-19 02:00:00+00:00,0,73,0
39.6251,-82.7552,43102,2023-02-19 02:00:00+00:00,0,67,0
39.6277,-82.5321,43155,2023-02-19 02:00:00+00:00,0,106,0
39.8645,-82.624,43105,2023-02-19 02:00:00+00:00,0,66,0
39.8349,-82.8044,43110,2023-02-19 02:00:00+00:00,0,75,0
39.7957,-82.7084,43112,2023-02-19 02:00:00+00:00,0,80,0
39.7187,-82.6031,43130,2023-02-19 02:00:00+00:00,0,76,0
39.8013,-82.8125,43136,2023-02-19 02:00:00+00:00,0,76,0
39.9061,-82.7563,43147,2023-02-19 02:00:00+00:00,0,81,0
39.8227,-82.5043,43148,2023-02-19 02:00:00+00:00,0,25,0
39.7674,-82.428,43150,2023-02-19 02:00:00+00:00,0,37,0
39.6909,-82.4096,43107,2023-02-19 02:00:00+00:00,0,99,0
40.8301,-81.0333,44634,2023-02-19 02:00:00+00:00,0,149,0
41.6857,-81.6728,44198,2023-02-19 02:00:00+00:00,0,226,0
41.6857,-81.6728,44195,2023-02-19 02:00:00+00:00,0,226,0
41.4494,-81.4314,44022,2023-02-19 02:00:00+00:00,0,293,0
41.5324,-81.415,44040,2023-02-19 02:00:00+00:00,0,317,0
41.4201,-81.9131,44070,2023-02-19 02:00:00+00:00,0,180,0
41.5234,-81.5996,44101,2023-02-19 02:00:00+00:00,0,265,0
41.4735,-81.7398,44102,2023-02-19 02:00:00+00:00,0,316,0
41.5157,-81.6405,44103,2023-02-19 02:00:00+00:00,0,270,0
41.4809,-81.6245,44104,2023-02-19 02:00:00+00:00,0,274,0
41.4509,-81.619,44105,2023-02-19 02:00:00+00:00,0,292,0
41.5084,-81.6076,44106,2023-02-19 02:00:00+00:00,0,279,0
41.4847,-81.8018,44107,2023-02-19 02:00:00+00:00,0,266,0
41.5349,-81.609,44108,2023-02-19 02:00:00+00:00,0,273,0
41.4458,-81.7033,44109,2023-02-19 02:00:00+00:00,0,301,0
41.5636,-81.5733,44110,2023-02-19 02:00:00+00:00,0,198,0
41.4571,-81.7844,44111,2023-02-19 02:00:00+00:00,0,274,0
41.5356,-81.5737,44112,2023-02-19 02:00:00+00:00,0,268,0
41.3676,-81.8618,44017,2023-02-19 02:00:00+00:00,0,179,0
40.881,-82.797,44887,2023-02-19 02:00:00+00:00,0,228,0
40.8709,-82.8771,44881,2023-02-19 02:00:00+00:00,0,149,0
40.8357,-83.1029,44860,2023-02-19 02:00:00+00:00,0,89,0
40.3572,-81.6436,43803,2023-02-19 02:00:00+00:00,0,30,0
40.3983,-81.9688,43805,2023-02-19 02:00:00+00:00,0,49,0
40.1804,-81.8951,43811,2023-02-19 02:00:00+00:00,0,73,0
40.2754,-81.866,43812,2023-02-19 02:00:00+00:00,0,76,0
40.3711,-81.7623,43824,2023-02-19 02:00:00+00:00,0,23,0
40.3513,-81.8736,43828,2023-02-19 02:00:00+00:00,0,40,0
40.2087,-81.7197,43836,2023-02-19 02:00:00+00:00,0,38,0
41.4816,-81.7018,44113,2023-02-19 02:00:00+00:00,0,319,0
40.3407,-82.1559,43843,2023-02-19 02:00:00+00:00,0,64,0
40.2718,-81.7361,43845,2023-02-19 02:00:00+00:00,0,51,0
40.8103,-82.9698,44820,2023-02-19 02:00:00+00:00,0,92,0
40.9542,-82.9432,44825,2023-02-19 02:00:00+00:00,0,161,0
